"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","Testing configurations tabs","verify email template","0","0","2","0","0"
"","Testing configurations tabs","verify profiles","0","1","0","0","0"
"","Testing configurations tabs","Verify settings","0","0","1","0","0"
"","Testing data sources tabs","Check upload and validation of actuals tab files","0","1","0","0","0"
"","Testing login functionality","Successfull login with vallid credentials","0","1","1","0","0"
"","Testing configurations tabs","verify Distribution","0","0","1","0","0"
"","Title of your feature","Verify IBAPSExtract","0","1","0","0","1"
"","Testing configurations tabs","Verify miscellaneous adjustment","0","0","1","0","0"
"","Testing data sources tabs","Check upload and validation of obligations extract tab","0","1","0","0","0"
"","Testing data sources tabs","Check upload and validation of process cost allocation tab","0","1","0","0","0"
"","Testing data sources tabs","Check upload and validation of rent tab files","0","1","0","0","0"
"","Testing configurations tabs","Verify centers","0","1","1","0","0"
"","Testing data sources tabs","Check upload and validation of UF net activity tab files","0","1","0","0","0"
"","Testing configurations tabs","Verify business managers","0","0","1","0","0"
"","Testing configurations tabs","verify lookup management","0","0","2","0","0"
"","Testing data sources tabs","Check upload and validation of wcf tab files","0","1","0","0","0"
"","Testing data sources tabs","Check upload and validation of Collections tab files","0","1","0","0","0"
"","Testing configurations tabs","Verify process ftes","0","0","1","0","0"
"","Testing configurations tabs","Verify inflation inputs","0","0","1","0","0"
"","Testing configurations tabs","Verify allocation categories","0","0","1","0","0"
"","Testing configurations tabs","Verify carryover setaside","0","0","1","0","0"
"","Testing dashboard functionality","Check all buttons and links on dashboard","0","0","1","0","0"
"","Testing configurations tabs","Verify recoveries","0","0","1","0","0"
"","Testing configurations tabs","Verify inflation categories","0","0","1","0","0"
"","Testing configurations tabs","Verify target reveneue categories","0","0","1","0","0"
"","Testing data sources tabs","Check upload and validation of fte tab","0","1","0","0","0"
"","Testing data sources tabs","Check upload and validation of consumption model tab files","0","1","0","0","0"
"","Testing data sources tabs","Check upload and validation of MDUFA unearned revenue extract tab","0","1","0","0","0"
