"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jun 19 15:32:02 IST 2024","Wed Jun 19 15:32:52 IST 2024","49953","","Testing configurations tabs","","verify email template","","verify email template",""
"broken","Fri Jun 28 23:06:26 IST 2024","Fri Jun 28 23:07:12 IST 2024","45922","","Testing configurations tabs","","verify profiles","","verify profiles",""
"passed","Fri Jun 28 23:05:28 IST 2024","Fri Jun 28 23:06:26 IST 2024","57948","","Testing configurations tabs","","Verify settings","","Verify settings",""
"broken","Fri Jun 28 23:11:37 IST 2024","Fri Jun 28 23:12:19 IST 2024","42261","","Testing data sources tabs","","Check upload and validation of actuals tab files","","Check upload and validation of actuals tab files",""
"broken","Thu Jun 27 14:14:57 IST 2024","Thu Jun 27 14:14:57 IST 2024","13","","Testing login functionality","","Successfull login with vallid credentials","","Successfull login with vallid credentials",""
"passed","Fri Jun 28 23:07:12 IST 2024","Fri Jun 28 23:08:15 IST 2024","63089","","Testing configurations tabs","","verify Distribution","","verify Distribution",""
"unknown","Wed Jun 19 18:57:53 IST 2024","Wed Jun 19 18:57:54 IST 2024","114","","Title of your feature","","Verify IBAPSExtract","","Verify IBAPSExtract","  I want to use this template for my feature file"
"passed","Fri Jun 28 22:58:48 IST 2024","Fri Jun 28 22:59:54 IST 2024","65616","","Testing configurations tabs","","Verify miscellaneous adjustment","","Verify miscellaneous adjustment",""
"broken","Fri Jun 28 23:14:02 IST 2024","Fri Jun 28 23:14:49 IST 2024","46172","","Testing data sources tabs","","Check upload and validation of obligations extract tab","","Check upload and validation of obligations extract tab",""
"broken","Fri Jun 28 23:13:32 IST 2024","Fri Jun 28 23:14:02 IST 2024","30741","","Testing data sources tabs","","Check upload and validation of process cost allocation tab","","Check upload and validation of process cost allocation tab",""
"broken","Fri Jun 28 23:10:13 IST 2024","Fri Jun 28 23:10:52 IST 2024","38857","","Testing data sources tabs","","Check upload and validation of rent tab files","","Check upload and validation of rent tab files",""
"broken","Wed Jun 26 19:46:01 IST 2024","Wed Jun 26 19:46:05 IST 2024","4021","","Testing configurations tabs","","Verify centers","","Verify centers",""
"broken","Fri Jun 28 23:09:04 IST 2024","Fri Jun 28 23:09:44 IST 2024","39420","","Testing data sources tabs","","Check upload and validation of UF net activity tab files","","Check upload and validation of UF net activity tab files",""
"passed","Fri Jun 28 22:53:19 IST 2024","Fri Jun 28 22:54:21 IST 2024","62146","","Testing configurations tabs","","Verify business managers","","Verify business managers",""
"passed","Fri Jun 28 22:52:11 IST 2024","Fri Jun 28 22:53:19 IST 2024","67372","","Testing configurations tabs","","Verify centers","","Verify centers",""
"passed","Fri Jun 28 23:04:19 IST 2024","Fri Jun 28 23:05:28 IST 2024","68794","","Testing configurations tabs","","verify email template","","verify email template",""
"passed","Fri Jun 28 23:03:13 IST 2024","Fri Jun 28 23:04:19 IST 2024","66090","","Testing configurations tabs","","verify lookup management","","verify lookup management",""
"broken","Fri Jun 28 23:10:52 IST 2024","Fri Jun 28 23:11:37 IST 2024","44919","","Testing data sources tabs","","Check upload and validation of wcf tab files","","Check upload and validation of wcf tab files",""
"broken","Fri Jun 28 23:09:44 IST 2024","Fri Jun 28 23:10:13 IST 2024","29441","","Testing data sources tabs","","Check upload and validation of Collections tab files","","Check upload and validation of Collections tab files",""
"passed","Fri Jun 28 22:56:27 IST 2024","Fri Jun 28 22:57:34 IST 2024","66970","","Testing configurations tabs","","Verify process ftes","","Verify process ftes",""
"passed","Mon Jun 17 23:06:06 IST 2024","Mon Jun 17 23:06:06 IST 2024","6","","Testing configurations tabs","","verify lookup management","","verify lookup management",""
"passed","Fri Jun 28 22:55:22 IST 2024","Fri Jun 28 22:56:27 IST 2024","64547","","Testing configurations tabs","","Verify inflation inputs","","Verify inflation inputs",""
"passed","Fri Jun 28 23:01:09 IST 2024","Fri Jun 28 23:02:11 IST 2024","61773","","Testing configurations tabs","","Verify allocation categories","","Verify allocation categories",""
"broken","Thu Jun 27 14:14:57 IST 2024","Thu Jun 27 14:14:57 IST 2024","13","","Title of your feature","","Verify IBAPSExtract","","Verify IBAPSExtract","  I want to use this template for my feature file"
"passed","Tue Jun 25 17:29:41 IST 2024","Tue Jun 25 17:30:25 IST 2024","43170","","Testing login functionality","","Successfull login with vallid credentials","","Successfull login with vallid credentials",""
"passed","Fri Jun 28 22:57:34 IST 2024","Fri Jun 28 22:58:48 IST 2024","74177","","Testing configurations tabs","","Verify carryover setaside","","Verify carryover setaside",""
"passed","Fri Jun 28 23:08:15 IST 2024","Fri Jun 28 23:09:04 IST 2024","49565","","Testing dashboard functionality","","Check all buttons and links on dashboard","","Check all buttons and links on dashboard",""
"passed","Fri Jun 28 22:59:54 IST 2024","Fri Jun 28 23:01:09 IST 2024","75000","","Testing configurations tabs","","Verify recoveries","","Verify recoveries",""
"passed","Fri Jun 28 23:02:11 IST 2024","Fri Jun 28 23:03:13 IST 2024","62152","","Testing configurations tabs","","Verify inflation categories","","Verify inflation categories",""
"passed","Fri Jun 28 22:54:21 IST 2024","Fri Jun 28 22:55:22 IST 2024","61630","","Testing configurations tabs","","Verify target reveneue categories","","Verify target reveneue categories",""
"broken","Fri Jun 28 23:13:04 IST 2024","Fri Jun 28 23:13:32 IST 2024","28067","","Testing data sources tabs","","Check upload and validation of fte tab","","Check upload and validation of fte tab",""
"broken","Fri Jun 28 23:12:19 IST 2024","Fri Jun 28 23:13:04 IST 2024","44551","","Testing data sources tabs","","Check upload and validation of consumption model tab files","","Check upload and validation of consumption model tab files",""
"broken","Fri Jun 28 23:14:49 IST 2024","Fri Jun 28 23:15:25 IST 2024","36567","","Testing data sources tabs","","Check upload and validation of MDUFA unearned revenue extract tab","","Check upload and validation of MDUFA unearned revenue extract tab",""
